nation,month,date,newCases
England,Nov,30-11-2020,10869
England,Nov,29-11-2020,10054
England,Nov,28-11-2020,13323
England,Nov,27-11-2020,13557
England,Nov,26-11-2020,14637
England,Nov,25-11-2020,15893
England,Nov,24-11-2020,9854
England,Nov,23-11-2020,13329
England,Nov,22-11-2020,16668
England,Nov,21-11-2020,17615
England,Nov,20-11-2020,17845
England,Nov,19-11-2020,20291
England,Nov,18-11-2020,17189
England,Nov,17-11-2020,17549
England,Nov,16-11-2020,19423
England,Nov,15-11-2020,21998
England,Nov,14-11-2020,24298
England,Nov,13-11-2020,24540
England,Nov,12-11-2020,30843
England,Nov,11-11-2020,19970
England,Nov,10-11-2020,18622
England,Nov,09-11-2020,19036
England,Nov,08-11-2020,18293
England,Nov,07-11-2020,21875
England,Nov,06-11-2020,20268
England,Nov,05-11-2020,21137
England,Nov,04-11-2020,21863
England,Nov,03-11-2020,17330
England,Nov,02-11-2020,15860
England,Nov,01-11-2020,20602
England,Oct,31-10-2020,18864
England,Oct,30-10-2020,20821
England,Oct,29-10-2020,19740
England,Oct,28-10-2020,21245
England,Oct,27-10-2020,19629
England,Oct,26-10-2020,17883
England,Oct,25-10-2020,16487
England,Oct,24-10-2020,19332
England,Oct,23-10-2020,17116
England,Oct,22-10-2020,17354
England,Oct,21-10-2020,22948
England,Oct,20-10-2020,17814
England,Oct,19-10-2020,16365
England,Oct,18-10-2020,14704
England,Oct,17-10-2020,13299
England,Oct,16-10-2020,12176
England,Oct,15-10-2020,16139
England,Oct,14-10-2020,16132
England,Oct,13-10-2020,14310
England,Oct,12-10-2020,11647
England,Oct,11-10-2020,10383
England,Oct,10-10-2020,12628
England,Oct,09-10-2020,10772
England,Oct,08-10-2020,14952
England,Oct,07-10-2020,11528
England,Oct,06-10-2020,12648
England,Oct,05-10-2020,10685
England,Oct,04-10-2020,21309
England,Oct,03-10-2020,10806
England,Oct,02-10-2020,4797
England,Oct,01-10-2020,5589
England,Sep,30-09-2020,5656
England,Sep,29-09-2020,5651
England,Sep,28-09-2020,3316
England,Sep,27-09-2020,4800
England,Sep,26-09-2020,4639
England,Sep,25-09-2020,5723
England,Sep,24-09-2020,5632
England,Sep,23-09-2020,5083
England,Sep,22-09-2020,4187
England,Sep,21-09-2020,3754
England,Sep,20-09-2020,3279
England,Sep,19-09-2020,3638
England,Sep,18-09-2020,3771
England,Sep,17-09-2020,2788
England,Sep,16-09-2020,3396
England,Sep,15-09-2020,2649
England,Sep,14-09-2020,2259
England,Sep,13-09-2020,2837
England,Sep,12-09-2020,3008
England,Sep,11-09-2020,3143
England,Sep,10-09-2020,2578
England,Sep,09-09-2020,2286
England,Sep,08-09-2020,2094
England,Sep,07-09-2020,2528
England,Sep,06-09-2020,2576
England,Sep,05-09-2020,1477
England,Sep,04-09-2020,1669
England,Sep,03-09-2020,1507
England,Sep,02-09-2020,1239
England,Sep,01-09-2020,1041
England,Aug,31-08-2020,1149
England,Aug,30-08-2020,1487
England,Aug,29-08-2020,891
England,Aug,28-08-2020,1106
England,Aug,27-08-2020,1350
England,Aug,26-08-2020,875
England,Aug,25-08-2020,1065
England,Aug,24-08-2020,758
England,Aug,23-08-2020,938
England,Aug,22-08-2020,1060
England,Aug,21-08-2020,908
England,Aug,20-08-2020,1035
England,Aug,19-08-2020,707
England,Aug,18-08-2020,975
England,Aug,17-08-2020,634
England,Aug,16-08-2020,952
England,Aug,15-08-2020,934
England,Aug,14-08-2020,1284
England,Aug,13-08-2020,1059
England,Aug,12-08-2020,925
England,Aug,11-08-2020,1035
England,Aug,10-08-2020,699
England,Aug,09-08-2020,988
England,Aug,08-08-2020,679
England,Aug,07-08-2020,796
England,Aug,06-08-2020,826
England,Aug,05-08-2020,804
England,Aug,04-08-2020,617
England,Aug,03-08-2020,856
England,Aug,02-08-2020,676
England,Aug,01-08-2020,722
England,Jul,31-07-2020,814
England,Jul,30-07-2020,812
England,Jul,29-07-2020,700
England,Jul,28-07-2020,547
England,Jul,27-07-2020,616
England,Jul,26-07-2020,721
England,Jul,25-07-2020,710
England,Jul,24-07-2020,688
England,Jul,23-07-2020,702
England,Jul,22-07-2020,519
England,Jul,21-07-2020,399
England,Jul,20-07-2020,535
England,Jul,19-07-2020,672
England,Jul,18-07-2020,796
England,Jul,17-07-2020,635
England,Jul,16-07-2020,597
England,Jul,15-07-2020,506
England,Jul,14-07-2020,372
England,Jul,13-07-2020,497
England,Jul,12-07-2020,615
England,Jul,11-07-2020,806
England,Jul,10-07-2020,480
England,Jul,09-07-2020,617
England,Jul,08-07-2020,606
England,Jul,07-07-2020,572
England,Jul,06-07-2020,331
England,Jul,05-07-2020,492
England,Jul,04-07-2020,579
England,Jul,03-07-2020,502
England,Jul,02-07-2020,523
England,Jul,01-07-2020,177
England,Jun,30-06-2020,196
England,Jun,29-06-2020,99
England,Jun,28-06-2020,142
England,Jun,27-06-2020,192
England,Jun,26-06-2020,175
England,Jun,25-06-2020,261
England,Jun,24-06-2020,107
England,Jun,23-06-2020,210
England,Jun,22-06-2020,178
England,Jun,21-06-2020,215
England,Jun,20-06-2020,324
England,Jun,19-06-2020,323
England,Jun,18-06-2020,281
England,Jun,17-06-2020,252
England,Jun,16-06-2020,252
England,Jun,15-06-2020,219
England,Jun,14-06-2020,292
England,Jun,13-06-2020,372
England,Jun,12-06-2020,392
England,Jun,11-06-2020,304
England,Jun,10-06-2020,63
England,Jun,09-06-2020,651
England,Jun,08-06-2020,92
England,Jun,07-06-2020,228
England,Jun,06-06-2020,422
England,Jun,05-06-2020,451
England,Jun,04-06-2020,431
England,Jun,03-06-2020,462
England,Jun,02-06-2020,444
England,Jun,01-06-2020,294
England,May,31-05-2020,320
England,May,30-05-2020,715
England,May,29-05-2020,560
England,May,28-05-2020,519
England,May,27-05-2020,609
England,May,26-05-2020,492
England,May,25-05-2020,494
England,May,24-05-2020,584
England,May,23-05-2020,979
England,May,22-05-2020,1083
England,May,21-05-2020,854
England,May,20-05-2020,824
England,May,19-05-2020,857
England,May,18-05-2020,816
England,May,17-05-2020,788
England,May,16-05-2020,1136
England,May,15-05-2020,1112
England,May,14-05-2020,1189
England,May,13-05-2020,1146
England,May,12-05-2020,1067
England,May,11-05-2020,891
England,May,10-05-2020,1007
England,May,09-05-2020,1349
England,May,08-05-2020,1694
England,May,07-05-2020,2133
England,May,06-05-2020,1611
England,May,05-05-2020,1842
England,May,04-05-2020,1485
England,May,03-05-2020,2019
England,May,02-05-2020,2228
England,May,01-05-2020,2501
England,Apr,30-04-2020,2484
England,Apr,29-04-2020,1403
England,Apr,28-04-2020,1989
England,Apr,27-04-2020,2264
England,Apr,26-04-2020,2152
England,Apr,25-04-2020,2826
England,Apr,24-04-2020,3004
England,Apr,23-04-2020,3084
England,Apr,22-04-2020,3020
England,Apr,21-04-2020,3087
England,Apr,20-04-2020,2401
England,Apr,19-04-2020,3607
England,Apr,18-04-2020,3548
England,Apr,17-04-2020,3985
England,Apr,16-04-2020,3118
England,Apr,15-04-2020,3188
England,Apr,14-04-2020,3854
England,Apr,13-04-2020,2999
England,Apr,12-04-2020,3672
England,Apr,11-04-2020,3841
England,Apr,10-04-2020,4263
England,Apr,09-04-2020,3798
England,Apr,08-04-2020,4788
England,Apr,07-04-2020,2978
England,Apr,06-04-2020,3176
England,Apr,05-04-2020,5107
England,Apr,04-04-2020,2910
England,Apr,03-04-2020,3576
England,Apr,02-04-2020,3583
England,Apr,01-04-2020,3630
England,Mar,31-03-2020,2414
England,Mar,30-03-2020,2107
England,Mar,29-03-2020,2060
England,Mar,28-03-2020,2139
England,Mar,27-03-2020,2506
England,Mar,26-03-2020,1809
England,Mar,25-03-2020,1130
England,Mar,24-03-2020,1258
England,Mar,23-03-2020,793
England,Mar,22-03-2020,535
England,Mar,21-03-2020,873
England,Mar,20-03-2020,628
England,Mar,19-03-2020,574
England,Mar,18-03-2020,625
England,Mar,17-03-2020,361
England,Mar,16-03-2020,97
England,Mar,15-03-2020,253
England,Mar,14-03-2020,201
England,Mar,13-03-2020,159
England,Mar,12-03-2020,99
England,Mar,11-03-2020,63
England,Mar,10-03-2020,46
England,Mar,09-03-2020,40
England,Mar,08-03-2020,58
England,Mar,07-03-2020,39
England,Mar,06-03-2020,39
England,Mar,05-03-2020,25
England,Mar,04-03-2020,32
England,Mar,03-03-2020,11
England,Mar,02-03-2020,4
England,Mar,01-03-2020,12
England,Feb,29-02-2020,3
England,Feb,28-02-2020,5
England,Feb,27-02-2020,0
England,Feb,26-02-2020,0
England,Feb,25-02-2020,0
England,Feb,24-02-2020,4
England,Feb,23-02-2020,0
England,Feb,22-02-2020,0
England,Feb,21-02-2020,0
England,Feb,20-02-2020,0
England,Feb,19-02-2020,0
England,Feb,18-02-2020,0
England,Feb,17-02-2020,0
England,Feb,16-02-2020,0
England,Feb,15-02-2020,0
England,Feb,14-02-2020,0
England,Feb,13-02-2020,1
England,Feb,12-02-2020,0
England,Feb,11-02-2020,0
England,Feb,10-02-2020,4
England,Feb,09-02-2020,1
England,Feb,08-02-2020,0
England,Feb,07-02-2020,0
England,Feb,06-02-2020,1
England,Feb,05-02-2020,0
England,Feb,04-02-2020,0
England,Feb,03-02-2020,0
England,Feb,02-02-2020,0
England,Feb,01-02-2020,0
England,Jan,31-01-2020,2
England,Jan,30-01-2020,0
England,Jan,29-01-2020,0
England,Jan,28-01-2020,0
England,Jan,27-01-2020,0
England,Jan,26-01-2020,0
England,Jan,25-01-2020,0
England,Jan,24-01-2020,0
England,Jan,23-01-2020,0
England,Jan,22-01-2020,0
England,Jan,21-01-2020,0
England,Jan,20-01-2020,0
England,Jan,19-01-2020,0
England,Jan,18-01-2020,0
England,Jan,17-01-2020,0
England,Jan,16-01-2020,0
England,Jan,15-01-2020,0
England,Jan,14-01-2020,0
England,Jan,13-01-2020,0
England,Jan,12-01-2020,0
England,Jan,11-01-2020,0
England,Jan,10-01-2020,0
England,Jan,09-01-2020,0
England,Jan,08-01-2020,0
England,Jan,07-01-2020,0
England,Jan,06-01-2020,0
England,Jan,05-01-2020,0
England,Jan,04-01-2020,0
England,Jan,03-01-2020,0
